pizza_id,pizza_type_id,size,price
bbq_ckn_s,bbq_ckn,S,12.75
bbq_ckn_m,bbq_ckn,M,16.75
bbq_ckn_l,bbq_ckn,L,20.75
cali_ckn_s,cali_ckn,S,12.75
cali_ckn_m,cali_ckn,M,16.75
cali_ckn_l,cali_ckn,L,20.75
ckn_alfredo_s,ckn_alfredo,S,12.75
ckn_alfredo_m,ckn_alfredo,M,16.75
ckn_alfredo_l,ckn_alfredo,L,20.75
ckn_pesto_s,ckn_pesto,S,12.75
ckn_pesto_m,ckn_pesto,M,16.75
ckn_pesto_l,ckn_pesto,L,20.75
southw_ckn_s,southw_ckn,S,12.75
southw_ckn_m,southw_ckn,M,16.75
southw_ckn_l,southw_ckn,L,20.75
the_greek_s,the_greek,S,12.00
the_greek_m,the_greek,M,16.00
the_greek_l,the_greek,L,20.00
the_greek_xl,the_greek,XL,25.50
the_greek_xxl,the_greek,XXL,35.95
hawaiian_s,hawaiian,S,10.50
hawaiian_m,hawaiian,M,13.25
hawaiian_l,hawaiian,L,16.50
italiano_s,italiano,S,12.50
italiano_m,italiano,M,15.75
italiano_l,italiano,L,20.50
mexicana_s,mexicana,S,12.00
mexicana_m,mexicana,M,16.00
mexicana_l,mexicana,L,20.25
pepperoni_s,pepperoni,S,10.50
pepperoni_m,pepperoni,M,13.25
pepperoni_l,pepperoni,L,16.50
peppr_salami_s,peppr_salami,S,12.50
peppr_salami_m,peppr_salami,M,16.50
peppr_salami_l,peppr_salami,L,19.75
prsc_argla_s,prsc_argla,S,12.50
prsc_argla_m,prsc_argla,M,16.50
prsc_argla_l,prsc_argla,L,21.50
spicy_ital_s,spicy_ital,S,12.50
spicy_ital_m,spicy_ital,M,16.50
spicy_ital_l,spicy_ital,L,21.50
ital_supr_s,ital_supr,S,13.25
ital_supr_m,ital_supr,M,16.50
ital_supr_l,ital_supr,L,21.00
ital_veggie_s,ital_veggie,S,12.75
ital_veggie_m,ital_veggie,M,16.75
ital_veggie_l,ital_veggie,L,21.00
the_ital_s,the_ital,S,12.50
the_ital_m,the_ital,M,15.75
the_ital_l,the_ital,L,20.50
veggie_veg_s,veggie_veg,S,10.50
veggie_veg_m,veggie_veg,M,13.50
veggie_veg_l,veggie_veg,L,17.50
five_cheese_s,five_cheese,S,12.50
five_cheese_m,five_cheese,M,15.50
five_cheese_l,five_cheese,L,18.50
four_cheese_s,four_cheese,S,12.50
four_cheese_m,four_cheese,M,16.50
four_cheese_l,four_cheese,L,21.50
green_garden_s,green_garden,S,12.00
green_garden_m,green_garden,M,13.50
green_garden_l,green_garden,L,17.50
mediterraneo_s,mediterraneo,S,12.00
mediterraneo_m,mediterraneo,M,13.50
mediterraneo_l,mediterraneo,L,17.50
spinach_fet_s,spinach_fet,S,12.00
spinach_fet_m,spinach_fet,M,13.50
spinach_fet_l,spinach_fet,L,17.50
spinach_supr_s,spinach_supr,S,13.25
spinach_supr_m,spinach_supr,M,16.50
spinach_supr_l,spinach_supr,L,21.00
napolitana_s,napolitana,S,12.00
napolitana_m,napolitana,M,13.50
napolitana_l,napolitana,L,17.50
the_barbecue_s,the_barbecue,S,12.75
the_barbecue_m,the_barbecue,M,16.75
the_barbecue_l,the_barbecue,L,20.75
brie_carre_s,brie_carre,S,23.65
thai_ckn_s,thai_ckn,S,12.75
thai_ckn_m,thai_ckn,M,16.75
thai_ckn_l,thai_ckn,L,20.75
big_meat_s,big_meat,S,12.00
big_meat_m,big_meat,M,16.00
big_meat_l,big_meat,L,20.25
classic_dlx_s,classic_dlx,S,13.50
classic_dlx_m,classic_dlx,M,16.00
classic_dlx_l,classic_dlx,L,20.75
the_classic_s,the_classic,S,12.00
the_classic_m,the_classic,M,13.25
the_classic_l,the_classic,L,16.50
pepperoni_feast_s,pepperoni_feast,S,12.50
pepperoni_feast_m,pepperoni_feast,M,14.50
pepperoni_feast_l,pepperoni_feast,L,18.50
soppressata_s,soppressata,S,12.50
soppressata_m,soppressata,M,16.50
soppressata_l,soppressata,L,21.50
calabrese_s,calabrese,S,12.25
calabrese_m,calabrese,M,16.25
calabrese_l,calabrese,L,20.25
